"Zeitstempel";"Direktverbrauch [W]";"Batterie Entladen [W]";"Netzbezug [W]";"Hausverbrauch [W]"
"30.05.2025 22:00:00";"";"565";"4";"496"
"30.05.2025 23:00:00";"";"504";"3";"431"
"31.05.2025 00:00:00";"";"576";"3";"499"
"31.05.2025 01:00:00";"";"43";"1781";"1793"
"31.05.2025 02:00:00";"";"18";"341";"341"
"31.05.2025 03:00:00";"";"19";"436";"436"
"31.05.2025 04:00:00";"";"19";"427";"427"
"31.05.2025 05:00:00";"";"19";"319";"319"
"31.05.2025 06:00:00";"";"359";"11";"375"
"31.05.2025 07:00:00";"";"96";"3";"417"
"31.05.2025 08:00:00";"";"0";"6";"394"
"31.05.2025 09:00:00";"";"14";"8";"872"
"31.05.2025 10:00:00";"";"98";"7";"3379"
"31.05.2025 11:00:00";"";"114";"8";"3696"
"31.05.2025 12:00:00";"";"266";"14";"2948"
"31.05.2025 13:00:00";"";"48";"3";"3556"
"31.05.2025 14:00:00";"";"84";"14";"3172"
"31.05.2025 15:00:00";"";"487";"201";"3764"
"31.05.2025 16:00:00";"";"73";"10";"2409"
"31.05.2025 17:00:00";"";"292";"8";"2158"
"31.05.2025 18:00:00";"";"44";"0";"507"
"31.05.2025 19:00:00";"";"172";"3";"484"
"31.05.2025 20:00:00";"";"196";"16";"702"
"31.05.2025 21:00:00";"";"218";"15";"499"
"31.05.2025 22:00:00";"";"418";"3";"368"
"31.05.2025 23:00:00";"";"515";"4";"438"
